date,EZU,BWX,GLD,SHV
2008-07-02,41.7292,23.5009,93.16999816894533,87.48318481445312
2008-07-03,42.0592,23.3959,92.05999755859376,87.49111938476562
2008-07-07,41.5042,23.4659,91.2300033569336,87.49906921386719
2008-07-08,41.8642,23.2959,90.86000061035156,87.49906921386719
2008-07-09,41.3792,23.6059,91.5,87.5389175415039
2008-07-10,41.7042,23.5809,93.52999877929688,87.5389175415039
2008-07-11,40.7042,23.6709,95.16000366210938,87.53086853027344
2008-07-14,40.5192,23.8409,95.91000366210938,87.56275177001953
2008-07-15,39.8492,23.9659,96.16999816894533,87.59458923339844
2008-07-16,40.6692,23.8659,94.44000244140624,87.60258483886719
2008-07-17,41.8792,23.6159,94.22000122070312,87.60258483886719
2008-07-18,42.2692,23.5209,94.16999816894533,87.59458923339844
2008-07-21,42.5892,23.6909,95.12000274658205,87.61053466796875
2008-07-22,42.6042,23.5059,93.05999755859376,87.59458923339844
2008-07-23,42.6892,23.3959,90.56999969482422,87.61841583251953
2008-07-24,41.6592,23.4909,91.33000183105467,87.61841583251953
2008-07-25,41.9692,23.4509,91.69000244140624,87.62643432617188
2008-07-28,41.2892,23.6209,91.7300033569336,87.63433837890625
2008-07-29,41.7192,23.4159,90.58999633789062,87.62643432617188
2008-07-30,41.9992,23.6109,89.5199966430664,87.62643432617188
2008-07-31,41.5292,23.6209,90.08000183105467,87.6661605834961
2008-08-01,40.8292,23.5409,89.56999969482422,87.65416717529297
2008-08-04,40.7792,23.5009,88.13999938964844,87.65416717529297
2008-08-05,42.1492,23.4109,86.08000183105469,87.65416717529297
2008-08-06,42.3192,23.2109,86.63999938964844,87.66216278076172
2008-08-07,41.2792,23.2159,86.08999633789062,87.6860580444336
2008-08-08,41.3192,22.7409,84.43000030517578,87.67810821533203
2008-08-11,41.1392,22.4759,81.12999725341797,87.66216278076172
2008-08-12,40.8292,22.7159,80.5199966430664,87.67810821533203
2008-08-13,39.9992,22.6959,81.55999755859375,87.67810821533203
2008-08-14,39.6292,22.5709,79.3499984741211,87.6860580444336
2008-08-15,39.3292,22.2859,77.62999725341797,87.70205688476562
2008-08-18,38.9292,22.4859,78.80000305175781,87.67015838623047
2008-08-19,38.5392,22.5559,80.43000030517578,87.7099838256836
2008-08-20,38.6192,22.4759,80.05999755859375,87.75785064697266
2008-08-21,38.7192,22.6909,82.30000305175781,87.74186706542969
2008-08-22,39.1192,22.5509,81.08000183105469,87.74186706542969
2008-08-25,38.2092,22.6909,80.93000030517578,87.75785064697266
2008-08-26,38.3692,22.5509,81.2300033569336,87.75785064697266
2008-08-27,38.8592,22.4309,81.36000061035156,87.78170776367188
2008-08-28,39.5492,22.4909,82.18000030517578,87.77379608154297
2008-08-29,39.6492,22.3709,81.70999908447266,87.77379608154297
2008-09-02,39.1192,22.2659,79.19999694824219,87.78968811035156
2008-09-03,39.0892,22.2409,78.88999938964844,87.8056640625
2008-09-04,36.7192,22.0909,78.38999938964844,87.82162475585938
2008-09-05,36.4292,21.9409,78.9800033569336,87.8056640625
2008-09-08,37.0092,21.8709,78.86000061035156,87.78968811035156
2008-09-09,35.7092,21.9009,76.48999786376953,87.82162475585938
2008-09-10,35.8392,21.6009,74.22000122070312,87.83763122558594
2008-09-11,35.8492,21.5409,73.08000183105469,87.84556579589844
2008-09-12,36.5792,21.7559,75.55000305175781,87.86156463623047
2008-09-15,34.8492,21.9509,77.55999755859375,87.98924255371094
2008-09-16,34.6692,22.0259,76.79000091552734,88.02122497558594
2008-09-17,33.5192,21.4409,85.45999908447266,88.22077941894531
2008-09-18,34.5692,21.2759,82.80000305175781,88.1968002319336
2008-09-19,37.6792,21.8159,85.9800033569336,87.99727630615234
2008-09-22,36.3692,22.1759,89.18000030517578,87.99727630615234
2008-09-23,35.5692,22.3659,88.31999969482422,88.04518127441406
2008-09-24,35.6792,22.4359,86.70999908447266,88.05310821533203
2008-09-25,36.6592,22.6759,86.44999694824219,88.1329345703125
2008-09-26,36.2192,22.3609,86.63999938964844,88.1090316772461
2008-09-29,31.4992,21.5759,89.56999969482422,88.069091796875
2008-09-30,33.4492,21.6859,85.06999969482422,88.04518127441406
2008-10-01,33.0892,21.7009,85.97000122070312,88.1690444946289
2008-10-02,31.2592,21.7359,82.33000183105469,88.2729721069336
2008-10-03,31.1192,21.7809,82.58999633789062,88.17704772949219
2008-10-06,28.7492,21.9059,84.27999877929688,88.14509582519531
2008-10-07,27.0592,21.3459,87.2699966430664,88.20896911621094
2008-10-08,26.3492,20.3359,89.41999816894531,88.2729721069336
2008-10-09,24.2692,20.3959,89.9000015258789,88.24095916748047
2008-10-10,23.5792,19.7409,83.22000122070312,88.32088470458984
2008-10-13,27.9392,19.7509,81.98999786376953,88.00121307373047
2008-10-14,27.1592,20.2809,82.19999694824219,88.28092956542969
2008-10-15,23.7792,20.9759,83.30999755859375,88.35282135009766
2008-10-16,25.1192,20.3559,79.29000091552734,88.16106414794922
2008-10-17,24.2692,20.9009,77.20999908447266,88.16106414794922
2008-10-20,25.7792,20.8359,78.5,88.10508728027344
2008-10-21,23.7492,20.6609,76.02999877929688,88.09707641601562
2008-10-22,21.3392,20.2359,71.70999908447266,88.1690444946289
2008-10-23,21.7792,20.3009,70.6500015258789,88.12105560302734
2008-10-24,20.3192,20.0159,72.20999908447266,88.16106414794922
2008-10-27,18.7792,19.8709,72.18000030517578,88.24897003173828
2008-10-28,22.2592,19.8659,73.79000091552734,88.24897003173828
2008-10-29,22.4692,20.2309,74.0,88.2729721069336
2008-10-30,23.2492,20.4659,72.70999908447266,88.25694274902344
2008-10-31,23.6892,20.3159,71.33999633789062,88.21700286865234
2008-11-03,23.4592,20.1909,71.0999984741211,88.32905578613281
2008-11-04,26.4392,20.4459,75.4800033569336,88.24101257324219
2008-11-05,24.0092,20.5059,72.80000305175781,88.25701141357422
2008-11-06,22.1192,20.4459,72.22000122070312,88.37710571289062
2008-11-07,23.8992,20.5509,72.5,88.38508605957031
2008-11-10,23.1592,20.4809,73.58000183105469,88.40110778808594
2008-11-11,22.2292,20.2459,72.05000305175781,88.41715240478516
2008-11-12,20.5892,20.2409,70.0,88.441162109375
2008-11-13,23.4092,20.4659,72.1500015258789,88.41715240478516
2008-11-14,21.5492,20.4159,73.30000305175781,88.4091567993164
2008-11-17,20.7492,20.3659,72.6500015258789,88.42515563964844
2008-11-18,20.8592,20.2759,72.51000213623047,88.41715240478516
2008-11-19,19.0092,20.1909,72.26000213623047,88.46517944335938
2008-11-20,17.4992,20.3409,73.44999694824219,88.48121643066406
2008-11-21,18.9592,20.2409,78.8499984741211,88.52922821044922
2008-11-24,21.0692,20.7159,80.91000366210938,88.48918151855469
