date,VT,BWX,GLD,SHV
2012-12-04,24.3608,26.5937,164.4199981689453,88.90505981445312
2012-12-05,24.5008,26.5087,164.1199951171875,88.90505981445312
2012-12-06,24.6908,26.4637,164.5,88.90505981445312
2012-12-07,24.7908,26.3887,165.16000366210938,88.91307067871094
2012-12-10,24.8108,26.4387,165.8000030517578,88.90505981445312
2012-12-11,25.1908,26.5087,165.64999389648438,88.91307067871094
2012-12-12,25.2808,26.5487,165.77000427246094,88.91307067871094
2012-12-13,24.9708,26.4087,164.3699951171875,88.92121887207031
2012-12-14,25.0008,26.4987,164.1300048828125,88.92121887207031
2012-12-17,25.4108,26.4887,164.44000244140625,88.92121887207031
2012-12-18,25.9008,26.5587,162.0800018310547,88.92121887207031
2012-12-19,25.8008,26.5987,161.69000244140625,88.92922973632812
2012-12-20,26.1158,26.6187,159.72999572753906,88.92121887207031
2012-12-21,25.6958,26.5737,160.3300018310547,88.92922973632812
2012-12-24,25.6158,26.5387,160.6199951171875,88.92121887207031
2012-12-26,25.5358,26.4987,160.77999877929688,88.92121887207031
2012-12-27,25.5858,26.4953,161.16000366210938,88.92922973632812
2012-12-28,25.2858,26.5353,160.5399932861328,88.92922973632812
2012-12-31,25.9258,26.4603,162.02000427246094,88.94538879394531
2013-01-02,27.0058,26.3653,163.1699981689453,88.92922973632812
2013-01-03,26.7258,26.0853,161.1999969482422,88.92922973632812
2013-01-04,26.9658,25.9953,160.44000244140625,88.92922973632812
2013-01-07,26.7058,26.0803,159.42999267578125,88.92121887207031
2013-01-08,26.5158,26.1203,160.55999755859375,88.92121887207031
2013-01-09,26.7358,26.0803,160.49000549316406,88.92922973632812
2013-01-10,27.2658,26.2103,161.97999572753906,88.92922973632812
2013-01-11,27.2358,26.2353,161.05999755859375,88.92922973632812
2013-01-14,27.2658,26.2803,161.5399932861328,88.92121887207031
2013-01-15,27.2158,26.2603,162.55999755859375,88.92121887207031
2013-01-16,27.1158,26.2153,162.64999389648438,88.92121887207031
2013-01-17,27.4458,26.1603,163.35000610351562,88.91307067871094
